timestamp,duration,hits,timeouts,errors,users,rxbytes,txbytes
2.503689,0.289179,3,0,0,11,66618.0,2205.0
5.016613,0.60136,22,1,0,21,488532.0,7595.0
7.526079,0.300731,47,12,0,32,1043682.0,18620.0
10.035827,0.437585,87,29,0,42,1931922.0,30870.0
12.546256,0.22223,173,29,0,53,3841638.0,54635.0
15.055805,0.323043,279,30,0,63,6195474.0,80360.0
17.564156,0.515773,362,48,0,74,8038572.0,106330.0
20.072215,0.360273,489,60,0,84,10858734.0,138670.0
22.582517,0.285338,652,63,0,94,14478312.0,180810.0
25.090138,0.272721,837,69,0,105,18586422.0,227360.0
27.598109,0.477838,931,130,0,115,20673786.0,265580.0
30.107293,0.490514,1005,214,0,126,22317030.0,312130.0
32.781077,0.422223,1122,297,0,137,24915132.0,363090.0
35.290632,0.542516,1195,425,0,147,26536170.0,407680.0
37.796698,0.268508,1371,507,0,158,30444426.0,469175.0
40.304057,0.236599,1567,572,0,168,34796802.0,539980.0
42.812135,0.309961,1710,675,0,179,37972260.0,609315.0
45.319916,0.413999,1797,841,0,189,39904182.0,669095.0
47.827932,0.356476,1928,1011,0,200,42813168.0,736715.0
50.335993,0.401096,2029,1181,0,210,45055974.0,808010.0
52.844319,0.388173,2162,1381,0,221,48009372.0,880040.0
55.352176,0.298598,2300,1546,0,231,51073800.0,962850.0
57.860029,0.457309,2381,1747,0,242,52872486.0,1051295.0
60.367986,0.609296,2423,1971,0,167,53805138.0,1118425.0
62.87688,0.609296,2423,1971,0,0,53805138.0,1118425.0
