timestamp,duration,hits,timeouts,errors,users,rxbytes,txbytes
5.006152,-1.0,0,0,0,106,0.0,25725.0
10.019788,-1.0,0,105,0,113,0.0,52430.0
15.03082,0.820413,17,215,0,120,384618.0,83055.0
20.04189,1.016576,120,285,16,126,2714921.0,125440.0
25.052485,1.585432,192,354,27,133,4343919.0,169785.0
30.063316,0.81518,464,387,36,140,10497726.0,231035.0
35.06896,0.740964,629,403,36,146,14230721.0,296695.0
40.079938,2.628498,651,534,45,153,14728487.0,330505.0
45.091033,1.148938,922,549,72,160,20859685.0,401310.0
50.096934,0.598151,1287,588,72,166,29117513.0,496125.0
55.107914,0.505364,1547,647,72,173,34999801.0,588735.0
60.119261,1.386696,1614,756,72,180,36515704.0,637245.0
65.131841,1.041375,1662,890,72,186,37601702.0,678895.0
70.264707,1.750191,1699,989,113,193,38438839.0,719320.0
75.274951,1.370256,1753,1107,116,200,39660601.0,772975.0
80.286075,2.649046,1823,1273,124,207,41244349.0,817810.0
85.296522,1.299096,2076,1345,130,213,46968334.0,893515.0
90.306451,0.842239,2456,1390,136,220,55565540.0,1007195.0
95.317682,0.35311,3004,1469,138,227,67963348.0,1158605.0
100.32818,0.483289,3621,1520,138,233,81922181.0,1316875.0
105.338832,0.243035,4318,1566,139,240,97690768.0,1496215.0
110.349095,0.357767,4889,1627,142,247,110608881.0,1657915.0
115.358781,0.369126,5427,1687,142,254,122780434.0,1821330.0
120.368905,0.980073,5693,1824,142,260,128798546.0,1901445.0
125.379372,0.839571,6301,1876,163,267,142553705.0,2059715.0
130.389981,0.464286,7037,1889,169,274,159204686.0,2263555.0
135.395939,0.703065,7423,1944,180,280,167937601.0,2399775.0
140.407784,0.747912,7928,2113,180,287,179362710.0,2524235.0
145.42066,0.375737,8909,2129,188,294,201556097.0,2773645.0
150.43173,0.533912,9577,2160,191,301,216668745.0,2967930.0
155.442955,0.558843,10047,2276,191,307,227302007.0,3119830.0
160.455494,0.598591,10427,2447,198,314,235899148.0,3261685.0
165.466896,0.925184,10876,2551,201,321,246057394.0,3379285.0
170.47886,0.694384,11281,2687,203,327,255220141.0,3520895.0
175.4905,0.895163,11735,2852,211,334,265491480.0,3682595.0
180.502447,0.826133,12343,2898,261,341,279246833.0,3834985.0
185.513645,0.613083,13000,3015,269,347,294110640.0,4034415.0
190.52489,2.688984,13033,3170,278,354,294857261.0,4103015.0
195.535719,3.316851,13035,3432,289,361,294902513.0,4167450.0
200.547893,-1.0,13035,3686,289,368,294902513.0,4254915.0
205.560111,1.144151,13083,4039,294,374,295988484.0,4346545.0
210.572177,1.39049,13288,4305,307,381,300626471.0,4464635.0
215.58583,1.088308,13495,4539,328,388,305309717.0,4556510.0
220.644407,0.761217,13909,4702,340,394,314676075.0,4715760.0
225.65641,0.839371,14432,4923,361,401,326508370.0,4884565.0
230.664576,1.08126,14832,5065,369,408,335558004.0,5033525.0
235.677024,0.949766,15571,5185,397,414,352276893.0,5233935.0
240.688236,0.365445,16201,5322,406,421,366529712.0,5454925.0
245.700061,1.303992,16506,5512,459,428,373430107.0,5583550.0
250.712837,0.983506,17292,5620,517,435,391212299.0,5789105.0
255.725077,0.380535,18433,5708,530,441,417025352.0,6088740.0
260.735115,0.456143,19246,5833,533,448,435418280.0,6337170.0
265.747588,1.417787,19579,5921,538,455,442952020.0,6490295.0
270.75974,-1.0,19579,6374,538,461,442952020.0,6600055.0
275.772984,-1.0,19579,6822,538,468,442952020.0,6713980.0
280.785275,-1.0,19579,7287,538,475,442952020.0,6786255.0
285.797289,-1.0,19579,7582,538,481,442952020.0,6861960.0
290.809566,-1.0,19579,7891,538,488,442952020.0,6956285.0
295.821634,0.0066250000000001,19581,8276,538,495,442953618.0,7075355.0
300.833688,0.01115,19772,8742,538,374,443106227.0,7211085.0
305.846449,0.01115,19772,8742,538,0,443106227.0,7211085.0
